epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,3010.59,0.83655,0.37079,0.00447,0.96952,0.92971,0.973,0.67537,1.13686,0.35748,0.00898,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,3052.59,0.84019,0.37692,0.00443,0.95046,0.93509,0.969,0.67961,1.09239,0.36329,0.00878,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,3094.37,0.84095,0.37334,0.00442,0.96381,0.94528,0.9756,0.66842,1.1671,0.35852,0.00908,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,3136.53,0.82936,0.37074,0.00444,0.9541,0.94753,0.97414,0.66973,1.15779,0.36177,0.00923,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,3178.14,0.83084,0.36074,0.00445,0.96558,0.95421,0.96967,0.70291,1.03647,0.32195,0.00868,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,3220.17,0.83573,0.37276,0.00449,0.95563,0.95724,0.97409,0.71235,1.0066,0.31327,0.00862,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,3261.98,0.83239,0.36274,0.0044,0.97706,0.94357,0.97615,0.69559,1.0361,0.32427,0.00851,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,3304.1,0.82497,0.36756,0.00446,0.96539,0.9526,0.97215,0.67449,1.15088,0.35082,0.00888,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,3345.79,0.82021,0.36142,0.00435,0.96352,0.95067,0.97822,0.67603,1.20214,0.3601,0.00899,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,3387.99,0.84215,0.36989,0.00456,0.97751,0.93696,0.97635,0.70038,1.05004,0.33134,0.0085,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,3429.72,0.82926,0.36279,0.00438,0.97427,0.95196,0.97842,0.69661,1.07075,0.3259,0.00863,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,3471.72,0.82535,0.36808,0.00438,0.95847,0.94648,0.97522,0.67807,1.14684,0.3506,0.00889,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,3513.63,0.82501,0.37053,0.00433,0.97351,0.93771,0.9761,0.67315,1.17583,0.35727,0.00922,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,3555.45,0.81586,0.36377,0.00434,0.95466,0.95675,0.97804,0.69225,1.11686,0.33881,0.00871,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,3597.24,0.81685,0.36141,0.00436,0.9535,0.95421,0.97788,0.70405,1.05608,0.33291,0.0084,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,3639.06,0.82396,0.37078,0.00426,0.9627,0.94712,0.97558,0.70042,1.06933,0.33078,0.00856,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,3680.87,0.80561,0.36558,0.0042,0.97052,0.94727,0.97747,0.71211,0.98725,0.31428,0.00805,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,3723.13,0.8218,0.37599,0.00429,0.95985,0.94623,0.97651,0.6958,1.09505,0.34029,0.00857,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,3764.84,0.82914,0.37568,0.00447,0.96381,0.94237,0.97835,0.66905,1.12725,0.34552,0.00867,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,3806.88,0.82765,0.37307,0.00443,0.96901,0.95558,0.98019,0.69595,1.11475,0.33479,0.0087,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
